date,product,region,units_sold,revenue,cost
2024-01-01,Widget A,North,150,4500.00,2250.00
2024-01-01,Widget B,North,89,2670.00,1335.00
2024-01-01,Widget A,South,120,3600.00,1800.00
2024-01-01,Widget C,East,200,8000.00,4000.00
2024-01-02,Widget A,North,175,5250.00,2625.00
2024-01-02,Widget B,West,95,2850.00,1425.00
2024-01-02,Widget C,North,180,7200.00,3600.00
2024-01-03,Widget A,East,140,4200.00,2100.00
2024-01-03,Widget B,South,110,3300.00,1650.00
2024-01-03,Widget C,West,220,8800.00,4400.00
2024-01-04,Widget A,West,165,4950.00,2475.00
2024-01-04,Widget B,North,78,2340.00,1170.00
2024-01-04,Widget C,South,195,7800.00,3900.00
2024-01-05,Widget A,South,130,3900.00,1950.00
2024-01-05,Widget B,East,102,3060.00,1530.00
2024-01-05,Widget C,North,210,8400.00,4200.00
